"acra","acra_library"
"activemq","activemq"
"activemq","activemq-core"
"alkacon","opencms"
"antisamy_project","antisamy"
"apache","activemq_apollo"
"apache","activemq_artemis"
"apache","archiva"
"apache","axis2"
"apache","batik"
"apache","brooklyn"
"apache","commons_email"
"apache","cordova"
"apache","cordova_in-app-browser"
"apache","derby"
"apache","directory_ldap_api"
"apache","directory_studio"
"apache","geode"
"apache","geronimo"
"apache","groovy"
"apache","guacamole"
"apache","hadoop"
"apache","httpclient"
"apache","ignite"
"apache","jackrabbit"
"apache","jetspeed"
"apache","ldap_studio"
"apache","myfaces"
"apache","nifi"
"apache","ofbiz"
"apache","open_for_business_project"
"apache","openmeetings"
"apache","opentaps"
"apache","org.apache.sling.servlets.post"
"apache","qpid_java"
"apache","ranger"
"apache","shiro"
"apache","sling_servlets_post"
"apache","solr"
"apache","struts"
"apache","struts2-showcase"
"apache","syncope"
"apache","tomcat"
"apache","tomee"
"apache","xalan-java"
"apache","xml_security_for_java"
"apache_software_foundation","tomcat"
"at.molindo.social","spring-social-core"
"axis","axis"
"batik","batik-dom"
"batik","batik-transcoder"
"bouncycastle","bcprov-jdk12"
"bouncycastle","bcprov-jdk13"
"bouncycastle","bcprov-jdk14"
"bouncycastle","bcprov-jdk15"
"bouncycastle","bcprov-jdk16"
"bouncycastle","legion-of-the-bouncy-castle-c%23-cryptography-api"
"bouncycastle","legion-of-the-bouncy-castle-c%23-crytography-api"
"bouncycastle","legion-of-the-bouncy-castle-java-crytography-api"
"br.com.esec.icpm","certillion-client-library"
"bsh","bsh"
"ca.juliusdavies","not-yet-commons-ssl"
"candlepinproject","candlepin"
"castor","castor"
"ca.uhn.hapi.fhir","hapi-fhir"
"ca.uhn.hapi.fhir","hapi-fhir-testpage-overlay"
"ch.acra","acra"
"ch.qos.logback","logback-classic"
"ch.qos.logback","logback-core"
"cloudbees","jenkins"
"cn.hutool","hutool-core"
"co.cask.cdap","cdap-flume"
"com.adobe.xmp","xmpcore"
"com.airlenet","play-framework"
"com.alibaba","fastjson"
"com.alibaba.citrus.tool","antx-autoconfig"
"com.alibaba.nacos","nacos-api"
"com.amazonaws","aws-android-sdk-core"
"com.amazonaws","aws-encryption-sdk-java"
"com.android.tools.build","builder"
"com.automation-remarks","video-recorder-remote"
"com.azure","azure-sdk-all"
"com.barchart.wrap","barchart-wrap-axis"
"com.beust","jcommander"
"com.blazegraph","BlazegraphBasedTPFServer"
"com.browserup","browserup-proxy"
"com.cedarsoft.rest","jersey"
"com.cronutils","cron-utils"
"com.ctrip.framework.apollo","apollo"
"com.danielflower.apprunner","app-runner"
"com.data-artisans","cascading-flink"
"com.datomic","datomic-free"
"com.eclipsesource.jaxrs","swagger-all"
"com.elastisys.scale","cloudadapters.aws.autoscaling"
"com.elastisys.scale","cloudadapters.aws.ec2"
"com.elastisys.scale","cloudadapters.openstack"
"com.elastisys.scale","cloudadapters.splitter"
"com.elastisys.scale","cloudpool.aws.autoscaling"
"com.elastisys.scale","cloudpool.aws.ec2"
"com.elastisys.scale","cloudpool.aws.spot"
"com.elastisys.scale","cloudpool.openstack"
"com.elastisys.scale","cloudpool.splitter"
"com.etsy","statsd-jvm-profiler"
"com.exadel.flamingo.flex","amf-serializer"
"com.facebook.nifty","nifty-load-tester"
"com.facebook.swift","swift-load-generator"
"com.fasterxml.jackson.core","jackson-core"
"com.fasterxml.jackson.core","jackson-databind"
"com.fasterxml.jackson.dataformat","jackson-dataformats-binary"
"com.fasterxml.jackson.dataformat","jackson-dataformat-xml"
"com.fasterxml.jackson.module","jackson-module-scala"
"com.fasterxml.transistore","transistore-server"
"com.floragunn","search-guard-6"
"com.floragunn","search-guard-kibana-plugin"
"com.frightanic","open-data-smn"
"com.ge.snowizard","snowizard-api"
"com.ge.snowizard","snowizard-application"
"com.ge.snowizard","snowizard-client"
"com.github.axet","zip4j"
"com.github.brandtg","switchboard-file"
"com.github.brandtg","switchboard-hdfs"
"com.github.brandtg","switchboard-mysql"
"com.github.grails-galahad","webapp-runner"
"com.github.gwtmaterialdesign","gwt-material"
"com.github.heuermh.adamexamples","adam-examples_2.10"
"com.github.jsimone","webapp-runner"
"com.github.junrar","junrar"
"com.github.kislayverma.rulette","rulette-rest"
"com.github.mtakaki","credential-storage"
"com.github.mtakaki","credential-storage-client"
"com.github.noraui","noraui"
"com.github.pabloo99.xmlsoccer","xmlsoccer"
"com.github.penggle","kaptcha"
"com.github.ptgoetz","flux-examples"
"com.github.raychatter","spring-restful-exception-handler"
"com.github.rwirdemann","mockwizard"
"com.github.safrain","remote-gsh-shell"
"com.github.sakserv","hadoop-mini-clusters"
"com.github.sakserv","hadoop-mini-clusters-hbase"
"com.github.sharispe","slib-tools-sml-toolkit"
"com.github.tomakehurst","wiremock"
"com.googlecode.gwtupload","gwtupload"
"com.googlecode.usc","folder-compression-app"
"com.googlecode.wicket-jquery-ui","jquery-ui-plugins"
"com.googlecode.wicket-jquery-ui","wicket-jquery-ui"
"com.googlecode.wicket-jquery-ui","wicket-jquery-ui-core"
"com.googlecode.wicket-jquery-ui","wicket-jquery-ui-plugins"
"com.googlecode.wicket-jquery-ui","wicket-jquery-ui-samples"
"com.googlecode.wicket-jquery-ui","wicket-kendo-ui"
"com.google.crypto.tink","tink"
"com.google.guava","guava"
"com.google.gwt","gwt"
"com.google.gwt","gwt-dev"
"com.google.gwt","gwt-user"
"com.google.oauth-client","google-oauth-client"
"com.gradle","gradle-enterprise-maven-extension"
"com.graphaware.neo4j","graphaware-framework-server-community"
"com.graphaware.neo4j","resttest"
"com.h2database","h2"
"com.hazelcast","hazelcast"
"com.hazelcast","hazelcast-client"
"com.hotels.styx","styx-api"
"com.hotels.styx","styx-client"
"com.hotels.styx","styx-server"
"com.hubspot","BaragonAgentService"
"com.hubspot.jinjava","jinjava"
"com.inversoft","prime-jwt"
"com.itextpdf","itextpdf"
"com.itextpdf","itext-pdfa"
"com.itextpdf","pdfa"
"com.iveely","com.iveely.computing"
"com.jamonapi","jamon"
"com.jason-goodwin","authentikat-jwt_2.10"
"com.jason-goodwin","authentikat-jwt_2.11"
"com.jason-goodwin","authentikat-jwt_2.12"
"com.jcraft","jsch"
"com.jfinal","jfinal"
"com.kitfox.svg","svg-salamander"
"com.liferay","com.liferay.portal.security.antisamy"
"com.liferay.portal","com.liferay.portal.impl"
"com.liferay.portal","com.liferay.portal.kernel"
"com.liferay.portal","portal-impl"
"com.liferay.portal","portal-service"
"com.linecorp.armeria","armeria"
"com.liulishuo.filedownloader","library"
"com.madgag.spongycastle","bctls-jdk15on"
"com.mchange","c3p0"
"com.meltmedia.cadmium","cadmium-cli"
"com.microsoft.azure","azure-maven-plugin"
"com.mikesamuel","json-sanitizer"
"commons-beanutils","commons-beanutils"
"commons-collections","commons-collections"
"commons-email","commons-email"
"commons-fileupload","commons-fileupload"
"commons-httpclient","commons-httpclient"
"commons-jelly","commons-jelly"
"com.mtvi.plateng.hudson","ldapemail"
"com.nablarch.framework","nablarch-fw-web-dbstore"
"com.neovisionaries","nv-websocket-client"
"com.netflix.hystrix","hystrix-core"
"com.neuronrobotics","BowlerScriptingKernel"
"com.nhncorp.ntaf","ntaf-fitnesse"
"com.nimbusds","nimbus-jose-jwt"
"com.ning","async-http-client"
"com.opensymphony","xwork"
"com.opensymphony","xwork-core"
"com.orange.redis-protocol","netty4-server"
"com.orientechnologies","orientdb-community"
"com.orientechnologies","orientdb-core"
"com.orientechnologies","orientdb-server"
"com.ovea.tajin.server","tajin-server-jetty8"
"com.ovea.tajin.server","tajin-server-jetty9"
"com.ovea.tajin.server","tajin-server-tomcat7"
"com.puppycrawl.tools","checkstyle"
"com.puresoltechnologies.ductiledb","ductiledb-jdbc"
"com.puresoltechnologies.purifinity.plugins","metrics.ddl"
"com.puresoltechnologies.purifinity.server","global.ddl"
"com.puresoltechnologies.purifinity.server","passwordstore.ddl"
"com.puresoltechnologies.purifinity.server","server.ddl"
"com.puresoltechnologies.purifinity.server","systemmonitor.ddl"
"com.qubole","quark-server"
"com.rabbitmq.jms","rabbitmq-jms"
"com.salesforceiq.augmenteddriver","AugmentedDriver"
"com.sap.scimono","scimono-client"
"com.smoketurner.notification","notification-application"
"com.smoketurner.pipeline","pipeline-application"
"com.softwaremill","akka-http-session_2.11"
"com.sonyericsson.hudson.plugins.gerrit","gerrit-trigger"
"com.sparkjava","spark-core"
"com.squareup","connect"
"com.squareup.okhttp","okhttp"
"com.squareup.okhttp3","okhttp"
"com.squareup.retrofit2","converter-jaxb"
"com.squareup.retrofit2","retrofit"
"com.sun.faces","jsf-api"
"com.sun.faces","jsf-impl"
"com.sun.mail","javax.mail"
"com.suse.salt","salt-netapi-client"
"com.testingbot","TestingBotTunnel"
"com.thoughtworks.xstream","xstream"
"com.twitter","twitter-server_2.12"
"com.typesafe.akka","akka-actor_2.10"
"com.typesafe.akka","akka-actor_2.10.0-M7"
"com.typesafe.akka","akka-actor_2.10.0-RC1"
"com.typesafe.akka","akka-actor_2.10.0-RC2"
"com.typesafe.akka","akka-actor_2.10.0-RC3"
"com.typesafe.akka","akka-actor_2.10.0-RC5"
"com.typesafe.akka","akka-actor_2.11"
"com.typesafe.akka","akka-actor_2.11.0-M3"
"com.typesafe.akka","akka-actor_2.11.0-M4"
"com.typesafe.akka","akka-actor_2.11.0-M5"
"com.typesafe.akka","akka-actor_2.11.0-M7"
"com.typesafe.akka","akka-actor_2.11.0-M8"
"com.typesafe.akka","akka-actor_2.11.0-RC1"
"com.typesafe.akka","akka-actor_2.11.0-RC3"
"com.typesafe.akka","akka-actor_2.11.0-RC4"
"com.typesafe.akka","akka-actor_2.12"
"com.typesafe.akka","akka-actor_2.12.0-M1"
"com.typesafe.akka","akka-actor_2.12.0-M2"
"com.typesafe.akka","akka-actor_2.12.0-M3"
"com.typesafe.akka","akka-actor_2.12.0-M4"
"com.typesafe.akka","akka-actor_2.12.0-M5"
"com.typesafe.akka","akka-actor_2.12.0-RC1"
"com.typesafe.akka","akka-actor_2.12.0-RC2"
"com.typesafe.akka","akka-http"
"com.typesafe.akka","akka-http_2.11"
"com.typesafe.akka","akka-http_2.12"
"com.typesafe.play","play_2.11"
"com.typesafe.play","play_2.12"
"com.typesafe.play","play_2.13.0-M3"
"com.typesafe.sbt","incremental-compiler"
"com.uber.tchannel","tchannel-hyperbahn"
"com.unboundid","unboundid-ldapsdk"
"com.vaadin","vaadin"
"com.vmware.xenon","xenon-common"
"com.walmartlabs.concord.server","concord-server"
"com.wavefront","proxy"
"com.xuxueli","xxl-job"
"com.yahoo.elide","elide-core"
"com.zavakid.citrus.tool","antx-autoconfig"
"connect2id","nimbus_jose%2bjwt"
"co.paralleluniverse","comsat-jetty-loader"
"dashbuilder_project","dashbuilder"
"de.is24.util","junit-karma-testrunner"
"de.matrixweb.smaller","ant-standalone"
"de.matrixweb.smaller","javascript"
"de.matrixweb.smaller","servlet"
"de.matrixweb.smaller","standalone"
"de.nierbeck.cassandra","Karaf-Cassandra-Embedded"
"derrick_oswald","html-parser"
"dev.paseto","jpaseto-impl"
"dev.paseto","jpaseto-sodium"
"dotcms","dotcms"
"dwr","dwr"
"eclipse","birt"
"eclipse","jetty"
"edu.internet2.middleware","shibboleth-identityprovider"
"edu.ucar","netcdf"
"edu.vt.middleware","vt-ldap"
"emeric_vernat","javamelody"
"eviware","soapui"
"exist","exist"
"fasterxml","jackson-databind"
"freeplane","freeplane"
"fr.iscpif.gridscale.bundle","egi_2.10"
"fr.iscpif.gridscale.bundle","egi_2.11"
"fr.iscpif.gridscale.bundle","glite_2.11"
"fr.lip6.pnml","fr.lip6.pnml.check"
"geronimo","geronimo-tomcat"
"google","authenticator"
"gpsdrive","gpsdrive"
"gr.iti.mklab","mklab-stream-manager"
"hawt","hawtio"
"hudson.plugins.sctmexecutor","SCTMExecutor"
"igniterealtime","openfire"
"igniterealtime","smack"
"ignite_realtime","openfire"
"io.advantageous.qbit","qbit-jetty"
"io.advantageous.qbit","qbit-vertx"
"io.airlift","http-server"
"io.apigee.opensaml","opensaml"
"io.corbel","feedback-rem"
"io.dropwizard","dropwizard-project"
"io.dropwizard","dropwizard-validation"
"io.fabric8","fabric8-maven-plugin-build"
"io.fabric8","fabric-maven-proxy"
"io.fabric8.insight","insight-rhq-metrics"
"io.hawt","hawtio-karaf-terminal"
"io.jooby","jooby-project"
"io.netty","netty"
"io.netty","netty-all"
"io.netty","netty-codec"
"io.netty","netty-codec-http"
"io.netty","netty-codec-http2"
"io.netty","netty-handler"
"io.paradoxical","cassieq-core"
"io.pebbletemplates","pebble-project"
"io.prestosql","presto-server"
"io.ratpack","ratpack-core"
"io.rhiot","rhiot-datasteam-node"
"io.selendroid","selendroid-standalone"
"io.soabase.exhibitor","exhibitor"
"io.spray","spray-httpx"
"io.spray","spray-httpx_2.10"
"io.spray","spray-httpx_2.11"
"io.swagger","swagger-codegen"
"io.swagger","swagger-codegen-cli"
"io.swagger","swagger-codegen-project"
"io.swagger","swagger-parser"
"io.syndesis.server","server-runtime"
"io.undertow","undertow-core"
"io.undertow","undertow-parent"
"io.undertow","undertow-parser-generator"
"io.undertow","undertow-servlet"
"io.vertx","vertx-core"
"io.vertx","vertx-proton"
"io.vertx","vertx-web"
"io.vertx","vertx-web-api-contract"
"itextpdf","itext"
"javamail","javamail"
"javax.faces","jsf-impl"
"javax.mail","javax.mail-api"
"javax.mail","mail"
"javax.servlet","jstl"
"jboss","jnpserver"
"jenkins","ccm"
"jenkins","config_file_provider"
"jenkins","dry"
"jenkins","ec2"
"jenkins","favorite_plugin"
"jenkins","gerrit_trigger"
"jenkins","jenkins"
"jenkins","multijob"
"jenkins","script_security"
"jenkins","subversion"
"jenkins-ci","build_failure_analyzer"
"jenkins-ci","exclusion"
"jenkins-ci","monitoring_plugin"
"jenkins-ci","subversion-plugin"
"jesse_mcconnell","redback"
"jetty","jetty"
"jforum","jforum"
"jitsi","jitsi"
"jivesoftware","smack"
"jolokia","jolokia"
"jstl","jstl"
"junit","junit"
"keycloak","keycloak"
"liferay","liferay_portal"
"log4j","log4j"
"logback","logback"
"mislav_marohnic","will_paginate"
"mortbay","jetty"
"mysql","mysql-connector-java"
"neo4j","neo4j"
"net.bull.javamelody","javamelody-core"
"net.dempsy","dempsy-distconfig.main"
"net.fckeditor","java-core"
"net.gplatform","Sdk4J"
"net.i2p","router"
"net.liftweb","lift-core"
"net.liftweb","lift-json_2.10"
"net.liftweb","lift-json_2.9.1"
"net.liftweb","lift-json_2.9.2"
"net.lightbody.bmp","browsermob-dist"
"net.lingala.zip4j","zip4j"
"net.officefloor.eclipse","eclipse"
"net.opentsdb","opentsdb"
"net.oschina.durcframework","durcframework-core"
"net.scattersphere","scattersphere-core"
"net.seedboxer","seedboxer-standalone"
"net.sf.dozer","dozer"
"net.sf.json-lib","json-lib"
"net.sf.mpxj","mpxj"
"net.sf.openas2","OpenAS2"
"net.sourceforge.htmlunit","htmlunit"
"net.sourceforge.jmatio","jmatio"
"net.sourceforge.pmd","pmd-core"
"net.winroad","wrdoclet"
"no.difi.oxalis","oxalis-standalone"
"ognl","ognl"
"opensymphony","ognl"
"opensymphony","xwork"
"oracle","glassfish_server"
"oracle","javafx"
"oracle","mojarra"
"oracle","weblogic_server"
"org","handsontable"
"org.abstractj","libpam4j"
"org.acegisecurity","acegi-security"
"org.apache.accumulo","accumulo-core"
"org.apache.activemq","activemq-all"
"org.apache.activemq","activemq-broker"
"org.apache.activemq","activemq-client"
"org.apache.activemq","activemq-console"
"org.apache.activemq","activemq-core"
"org.apache.activemq","activemq-fileserver"
"org.apache.activemq","activemq-jaas"
"org.apache.activemq","activemq-osgi"
"org.apache.activemq","activemq-parent"
"org.apache.activemq","activemq-stomp"
"org.apache.activemq","activemq-unit-tests"
"org.apache.activemq","activemq-web"
"org.apache.activemq","activemq-web-console"
"org.apache.activemq","activemq-web-demo"
"org.apache.activemq","apache-activemq"
"org.apache.activemq","apollo-selector"
"org.apache.activemq","artemis-cli"
"org.apache.activemq","artemis-jms-client"
"org.apache.activemq.rest","artemis-rest"
"org.apache.ant","ant"
"org.apache.archiva","archiva"
"org.apache.archiva","archiva-common"
"org.apache.archiva","archiva-modules"
"org.apache.archiva","archiva-rest-services"
"org.apache.archiva","archiva-web"
"org.apache.archiva","archiva-webapp"
"org.apache.archiva","archiva-web-common"
"org.apache.archiva.redback","redback-rest-services"
"org.apache.asterix","apache-asterixdb"
"org.apache.atlas","apache-atlas"
"org.apache.atlas","atlas-dashboardv2"
"org.apache.atlas","atlas-webapp"
"org.apache.avro","avro-tools"
"org.apache.axis","axis"
"org.apache.axis2","axis2"
"org.apache.axis2","axis2-kernel"
"org.apache.axis2","axis2-webapp"
"org.apache.axis2","org.apache.axis2.osgi"
"org.apache.bigtop.itest","fat-smoke"
"org.apache.brooklyn","brooklyn"
"org.apache.brooklyn","brooklyn-api"
"org.apache.brooklyn","brooklyn-core"
"org.apache.brooklyn","brooklyn-jsgui"
"org.apache.brooklyn","brooklyn-launcher"
"org.apache.brooklyn","brooklyn-rest-api"
"org.apache.brooklyn","brooklyn-rest-resources"
"org.apache.brooklyn","brooklyn-rest-server"
"org.apache.brooklyn","brooklyn-utils-common"
"org.apache.camel","apache-camel"
"org.apache.camel","camel"
"org.apache.camel","camel-ahc"
"org.apache.camel","camel-api"
"org.apache.camel","camel-beanstalk"
"org.apache.camel","camel-blueprint"
"org.apache.camel","camel-cache"
"org.apache.camel","camel-castor"
"org.apache.camel","camel-castor-starter"
"org.apache.camel","camel-component"
"org.apache.camel","camel-core"
"org.apache.camel","camel-core-xml"
"org.apache.camel","camel-cxf"
"org.apache.camel","camel-ehcache"
"org.apache.camel","camel-endpointdsl"
"org.apache.camel","camel-ftp"
"org.apache.camel","camel-hessian"
"org.apache.camel","camel-hessian-starter"
"org.apache.camel","camel-http"
"org.apache.camel","camel-http4"
"org.apache.camel","camel-http-common"
"org.apache.camel","camel-jackson"
"org.apache.camel","camel-jacksonxml"
"org.apache.camel","camel-jetty9"
"org.apache.camel","camel-jetty-common"
"org.apache.camel","camel-jmx"
"org.apache.camel","camel-mail"
"org.apache.camel","camel-main"
"org.apache.camel","camel-management"
"org.apache.camel","camel-management-api"
"org.apache.camel","camel-openapi-java"
"org.apache.camel","camel-openapi-rest-dsl-generator"
"org.apache.camel","camel-parent"
"org.apache.camel","camel-rabbitmq"
"org.apache.camel","camel-rest-openapi"
"org.apache.camel","camel-saxon"
"org.apache.camel","camel-snakeyaml"
"org.apache.camel","camel-spring-boot"
"org.apache.camel","camel-test"
"org.apache.camel","camel-web-standalone"
"org.apache.camel","camel-xstream"
"org.apache.camel","components"
"org.apache.camel","platforms"
"org.apache.cassandra","apache-cassandra"
"org.apache.cassandra","cassandra-all"
"org.apache.cayenne","cayenne-modeler"
"org.apache.click","click"
"org.apache.commons","commons-collections4"
"org.apache.commons","commons-compress"
"org.apache.commons","commons-configuration2"
"org.apache.commons","commons-dbcp2"
"org.apache.commons","commons-email"
"org.apache.continuum","continuum"
"org.apache.continuum","continuum-core"
"org.apache.continuum","continuum-docs"
"org.apache.continuum","continuum-security"
"org.apache.continuum","continuum-webapp"
"org.apache.curator","curator-x-rpc"
"org.apache.cxf","apache-cxf"
"org.apache.cxf","cxf"
"org.apache.cxf","cxf-api"
"org.apache.cxf","cxf-bundle"
"org.apache.cxf","cxf-bundle-jaxrs"
"org.apache.cxf","cxf-bundle-minimal"
"org.apache.cxf","cxf-common-utilities"
"org.apache.cxf","cxf-core"
"org.apache.cxf","cxf-parent"
"org.apache.cxf","cxf-rt"
"org.apache.cxf","cxf-rt-bindings-soap"
"org.apache.cxf","cxf-rt-bindings-xml"
"org.apache.cxf","cxf-rt-core"
"org.apache.cxf","cxf-rt-frontend-jaxrs"
"org.apache.cxf","cxf-rt-management"
"org.apache.cxf","cxf-rt-rs-extension-providers"
"org.apache.cxf","cxf-rt-rs-security-jose"
"org.apache.cxf","cxf-rt-rs-security-oauth2"
"org.apache.cxf","cxf-rt-rs-security-sso-oidc"
"org.apache.cxf","cxf-rt-rs-security-sso-saml"
"org.apache.cxf","cxf-rt-rs-security-xml"
"org.apache.cxf","cxf-rt-transports-http"
"org.apache.cxf","cxf-rt-transports-http-jetty"
"org.apache.cxf","cxf-rt-transports-udp"
"org.apache.cxf","cxf-rt-ws-security"
"org.apache.cxf","cxf-tools"
"org.apache.cxf","cxf-tools-validator"
"org.apache.cxf.fediz","fediz"
"org.apache.cxf.fediz","fediz-core"
"org.apache.cxf.fediz","fediz-cxf"
"org.apache.cxf.fediz","fediz-idp"
"org.apache.cxf.fediz","fediz-jetty8"
"org.apache.cxf.fediz","fediz-jetty9"
"org.apache.cxf.fediz","fediz-oidc"
"org.apache.cxf.fediz","fediz-spring"
"org.apache.cxf.fediz","fediz-spring2"
"org.apache.cxf.fediz","fediz-spring3"
"org.apache.cxf.fediz","services"
"org.apache.cxf.fediz","systests"
"org.apache.cxf.services.sts","cxf-services-sts"
"org.apache.cxf.services.sts","cxf-services-sts-core"
"org.apache.cxf.systests","cxf-systests"
"org.apache.cxf.systests","cxf-systests-uncategorized"
"org.apache.cxf.systests","cxf-systests-ws-security-examples"
"org.apache.deltaspike.core","deltaspike-core-api"
"org.apache.deltaspike.modules","deltaspike-jsf-module-impl"
"org.apache.derby","derby"
"org.apache.derby","derbynet"
"org.apache.directory.api","apache-ldap-api"
"org.apache.directory.api","api-all"
"org.apache.directory.api","api-ldap-client-all"
"org.apache.directory.api","api-ldap-client-api"
"org.apache.directory.api","api-ldap-model"
"org.apache.directory.server","apacheds-all"
"org.apache.directory.server","apacheds-service"
"org.apache.directory.studio","ldapbrowser.core"
"org.apache.dolphinscheduler","dolphinscheduler-dao"
"org.apache.drill.exec","drill-java-exec"
